,0,1
502,tensor(2.2017),tensor(10.7441)
503,tensor(2.2131),tensor(10.7556)
504,tensor(2.2245),tensor(10.7671)
505,tensor(2.2360),tensor(10.7786)
506,tensor(2.2474),tensor(10.7901)
507,tensor(2.2588),tensor(10.8015)
508,tensor(2.2702),tensor(10.8130)
509,tensor(2.2816),tensor(10.8245)
510,tensor(2.2930),tensor(10.8360)
511,tensor(2.3045),tensor(10.8474)
512,tensor(2.3159),tensor(10.8589)
513,tensor(2.3273),tensor(10.8703)
514,tensor(2.3387),tensor(10.8818)
515,tensor(2.3501),tensor(10.8932)
516,tensor(2.3615),tensor(10.9046)
517,tensor(2.3729),tensor(10.9160)
518,tensor(2.3843),tensor(10.9275)
519,tensor(2.3957),tensor(10.9389)
520,tensor(2.4070),tensor(10.9503)
521,tensor(2.4184),tensor(10.9617)
522,tensor(2.4298),tensor(10.9731)
523,tensor(2.4412),tensor(10.9845)
524,tensor(2.4526),tensor(10.9958)
525,tensor(2.4639),tensor(11.0072)
526,tensor(2.4753),tensor(11.0186)
527,tensor(2.4867),tensor(11.0299)
528,tensor(2.4980),tensor(11.0413)
529,tensor(2.5094),tensor(11.0527)
530,tensor(2.5208),tensor(11.0640)
531,tensor(2.5321),tensor(11.0753)
532,tensor(2.5435),tensor(11.0867)
533,tensor(2.5548),tensor(11.0980)
534,tensor(2.5661),tensor(11.1093)
535,tensor(2.5775),tensor(11.1206)
536,tensor(2.5888),tensor(11.1319)
537,tensor(2.6001),tensor(11.1432)
538,tensor(2.6115),tensor(11.1545)
539,tensor(2.6228),tensor(11.1658)
540,tensor(2.6341),tensor(11.1770)
541,tensor(2.6454),tensor(11.1883)
542,tensor(2.6567),tensor(11.1995)
543,tensor(2.6680),tensor(11.2108)
544,tensor(2.6793),tensor(11.2220)
545,tensor(2.6906),tensor(11.2333)
546,tensor(2.7019),tensor(11.2445)
547,tensor(2.7131),tensor(11.2557)
548,tensor(2.7244),tensor(11.2669)
549,tensor(2.7357),tensor(11.2781)
550,tensor(2.7469),tensor(11.2893)
551,tensor(2.7582),tensor(11.3005)
552,tensor(2.7694),tensor(11.3117)
553,tensor(2.7807),tensor(11.3228)
554,tensor(2.7919),tensor(11.3340)
555,tensor(2.8032),tensor(11.3451)
556,tensor(2.8144),tensor(11.3563)
557,tensor(2.8256),tensor(11.3674)
558,tensor(2.8368),tensor(11.3785)
559,tensor(2.8480),tensor(11.3896)
560,tensor(2.8592),tensor(11.4008)
561,tensor(2.8704),tensor(11.4119)
562,tensor(2.8816),tensor(11.4229)
563,tensor(2.8928),tensor(11.4340)
564,tensor(2.9039),tensor(11.4451)
565,tensor(2.9151),tensor(11.4562)
566,tensor(2.9263),tensor(11.4672)
567,tensor(2.9374),tensor(11.4782)
568,tensor(2.9485),tensor(11.4893)
569,tensor(2.9597),tensor(11.5003)
570,tensor(2.9708),tensor(11.5113)
571,tensor(2.9819),tensor(11.5223)
572,tensor(2.9930),tensor(11.5333)
573,tensor(3.0041),tensor(11.5443)
574,tensor(3.0152),tensor(11.5553)
