Timestamp,Country,Num_Flights,Num_Covid_Cases
4/4/2021,Mongolia,1,1222
4/4/2021,Morocco,40,365
4/4/2021,Netherlands,251,7108
4/4/2021,New Caledonia,2,
4/4/2021,New Zealand,338,6
4/4/2021,Norway,110,574
4/4/2021,Oman,1,3139
4/4/2021,Pakistan,40,4323
4/4/2021,Panama,81,304
4/4/2021,Peru,103,8406
4/4/2021,Philippines,26,11008
4/4/2021,Poland,77,22958
4/4/2021,Portugal,148,193
4/4/2021,Qatar,389,876
4/4/2021,Romania,36,4151
4/4/2021,Russian Federation,1002,8697
4/4/2021,Saudi Arabia,102,673
4/4/2021,Serbia,13,3304
4/4/2021,Singapore,127,10
4/4/2021,South Africa,66,463
4/4/2021,Spain,314,0
4/4/2021,Sri Lanka,18,141
4/4/2021,Suriname,1,10
4/4/2021,Sweden,165,0
4/4/2021,Switzerland,82,0
4/4/2021,"Tanzania, United Republic of",7,
4/4/2021,Thailand,53,96
4/4/2021,Tunisia,29,1709
4/4/2021,Turkey,1244,41998
4/4/2021,Ukraine,47,13858
4/4/2021,United Arab Emirates,446,2113
4/4/2021,United Kingdom,155,2405
4/4/2021,United States,7068,37355
4/4/2021,Uzbekistan,26,188
4/4/2021,Vietnam,245,5
4/5/2021,Algeria,41,117
4/5/2021,Antigua and Barbuda,3,3
4/5/2021,Argentina,28,13667
4/5/2021,Australia,279,8
4/5/2021,Austria,119,2217
4/5/2021,Azerbaijan,7,1099
4/5/2021,Bahrain,68,974
4/5/2021,Bangladesh,17,7075
4/5/2021,Belarus,44,986
4/5/2021,Belgium,74,1968
4/5/2021,Bolivia,1,458
4/5/2021,Brazil,356,42674
4/5/2021,Bulgaria,7,3860
4/5/2021,Canada,151,7410
4/5/2021,Chile,25,5827
4/5/2021,China (People's Republic of),2146,40
4/5/2021,Chinese Taipei,187,1
4/5/2021,Colombia,116,10190
4/5/2021,Croatia,35,138
4/5/2021,Cuba,1,1066
4/5/2021,Czech Republic,5,1924
4/5/2021,Ecuador,1,1096
4/5/2021,Egypt,29,767
4/5/2021,El Salvador,16,154
4/5/2021,Ethiopia,49,2138
4/5/2021,Fiji,3,0
4/5/2021,Finland,77,322
4/5/2021,France,361,10793
4/5/2021,French Polynesia,4,
4/5/2021,Germany,625,5980
4/5/2021,Greece,57,1863
4/5/2021,"Hong Kong SAR, China",43,
4/5/2021,Iceland,9,0
